Company Name,Industry,Symbol,Series,ISIN Code
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST,EQ,INE387A01021
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
